Title,Call No,Copy No,Rayon,Branch
Les Sagesses Antiques T01 (Ldp Bib.Essais) (French Edition),PI,21013,B8,1
la femme de gilles babel 19,FR,16062,B5,1
Les Noces fabuleuses du Polonais (Best) (French Edition),FR,16136,B5,7
Mesurer le monde: 1792-1799 : l'incroyable histoire de l'invention du mètre (Sciences) (French Edition),HP,20058,B8,1
Fluid Mechanics 8e In SI Units,PH 253,B1,1,Main
Le Metier d'Intellectuel: Dialogues avec Quinze Penseurs du Maroc,HP,20040,B8,1
Ordinary Differential Equations (Universitext),MA,6065,B3,2
Zero To One,DP,19092,B7,1
The fountainhead,17074,B5,1,Main
PHP 7 : Développez un site web dynamique et interactif,IT 8016,B3,1,Main
Les quatre accords toltèques : La voie de la liberté personnelle (Poche: la voie de la liberté personnelle) (French Edition),DP,19047,B7,1
La communication efficace - 4e éd. - Acquérir maîtrise et confiance en soi: Acquérir maîtrise et confiance en soi (Efficacité professionnelle) (French Edition),DP,19034,B7,1
Time Series: Theory and Methods (Springer Series in Statistics),MA,6089,B3,1
"Mathematical Elasticity, Volume 2: Theory of Plates (Studies in Mathematics and its Application)",MA,6051,B3,1
Méthode des éléments finis,MA,6052,B3,1
Mécanique des fluides,PH 257,B1,1,Main
Initiation à l’analyse complexe - Cours et exercices corrigés (Références sciences),MA,6040,B3,2
Comment Se Faire Des Amis (Le Livre de Poche) (French Edition),DP,19010,B7,2
Le theoreme du perroquet (Points) (French Edition),FR,16111,B5,2
Le Gout De Vivre (Documents) (French Edition),FR,16090,B5,1
le temps existe-t-il,PI,21012,B8,2
Psychopathologie de la vie quotidienne (Petite Bibliothèque Payot) (French Edition),FR,16173,B5,1
Nouvelle Alliance (Folio Essais) (French Edition),FR,16164,B5,1
The power of habit : why we do what we do and how to change,19084,B7,1,Main
L'Eudemonisme social T05 (Ldp Bib.Essais) (French Edition),PI,21009,B8,1
Critique de la raison pure: TRADUCTION ET PRESENTATION PAR ALAIN RENAUT (Philosophie) (French Edition),PI,21005,B8,1
Études d'histoire de la pensée philosophique (Tel) (French Edition),HP,20007,B8,2
Les prodigieuses victoires de la psychologie,SH,18027,B6,1
